Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,1280.000000,1282.500000,1256.500000,1261.449951,1087.296387,2467386
2015-05-13,1273.500000,1273.500000,1240.219971,1257.699951,1084.064087,1863774
2015-05-14,1260.000000,1260.000000,1242.500000,1249.619995,1077.099731,1309050
2015-05-15,1257.500000,1266.199951,1250.500000,1255.569946,1082.228149,1461454
2015-05-18,1257.050049,1262.619995,1248.550049,1260.199951,1086.219116,4507752
2015-05-19,1259.699951,1265.000000,1248.380005,1256.349976,1082.900757,1957722
2015-05-20,1260.000000,1284.949951,1258.449951,1278.530029,1102.018188,1897814
2015-05-21,1278.500000,1290.000000,1274.069946,1277.750000,1101.345947,1579578
2015-05-22,1275.000000,1314.380005,1269.619995,1308.949951,1128.238770,2691632
2015-05-25,1310.000000,1318.449951,1292.849976,1300.500000,1120.955322,982978
2015-05-26,1302.500000,1311.619995,1294.449951,1304.430054,1124.342773,1961740
2015-05-27,1304.000000,1316.569946,1296.000000,1307.619995,1127.092529,1620690
2015-05-28,1301.949951,1311.500000,1291.119995,1304.750000,1124.618530,2763608
2015-05-29,1308.500000,1324.300049,1298.619995,1305.150024,1124.963257,4423532
2015-06-01,1304.719971,1323.550049,1304.180054,1308.880005,1128.178467,882264
2015-06-02,1308.000000,1315.000000,1295.250000,1299.949951,1120.481323,3935820
2015-06-03,1302.000000,1312.800049,1295.250000,1305.449951,1125.222168,1804684
2015-06-04,1308.550049,1311.400024,1294.250000,1302.819946,1122.955322,4131468
2015-06-05,1296.000000,1304.500000,1285.000000,1287.930054,1130.954834,2308534
2015-06-08,1295.000000,1295.000000,1280.819946,1288.719971,1131.648193,1570320
2015-06-09,1292.500000,1295.000000,1275.500000,1280.819946,1124.711182,2578914
2015-06-10,1283.000000,1305.000000,1281.900024,1300.380005,1141.887329,2763350
2015-06-11,1302.750000,1306.500000,1278.380005,1285.650024,1128.952759,1847336
2015-06-12,1285.949951,1294.469971,1238.400024,1252.900024,1100.194336,2571456
2015-06-15,1252.650024,1260.219971,1240.500000,1252.400024,1099.755005,2525176
2015-06-16,1250.000000,1259.650024,1247.219971,1256.000000,1102.916626,1267396
